r_val, FCN_Acc, CNN_Acc
1.0000, 0.6090, 0.6090
1.4142, 0.6435, 0.6435
2.0000, 0.6840, 0.6840
2.2361, 0.6800, 0.6810
2.8284, 0.7005, 0.7005
3.0000, 0.7645, 0.7340
4.0000, 0.7790, 0.7560
5.0000, 0.8055, 0.7950
6.0000, 0.8125, 0.7980
7.0000, 0.8240, 0.8160
8.0000, 0.8245, 0.8305
9.0000, 0.8285, 0.8330
10.0000, 0.8355, 0.8360
11.0000, 0.8425, 0.8475
12.0000, 0.8570, 0.8145
13.0000, 0.8565, 0.8615
14.0000, 0.8625, 0.8710
15.0000, 0.8625, 0.8615
16.0000, 0.8535, 0.8955
17.0000, 0.8715, 0.8700
18.0000, 0.9010, 0.8820
19.0000, 0.8815, 0.8870
20.0000, 0.8915, 0.8760
21.0000, 0.8945, 0.9160
22.0000, 0.8790, 0.8105
23.0000, 0.8660, 0.8795
24.0000, 0.8835, 0.9110
25.0000, 0.9000, 0.8645
26.0000, 0.8700, 0.9375
27.0000, 0.8715, 0.9545
28.0000, 0.8750, 0.8535
29.0000, 0.8860, 0.9075
30.0000, 0.8580, 0.9435
31.0000, 0.8670, 0.9325
32.0000, 0.8470, 0.9265
33.0000, 0.9460, 0.9345
34.0000, 0.9245, 0.8790
35.0000, 0.9455, 0.9415
36.0000, 0.9445, 0.9215
37.0000, 0.9350, 0.9200
38.0000, 0.9160, 0.9020
39.0000, 0.8880, 0.8730
40.0000, 0.8680, 0.8185
41.0000, 0.8500, 0.8330
42.0000, 0.7840, 0.7550
43.0000, 0.7195, 0.6840
44.0000, 0.6145, 0.6145
45.0000, 0.5000, 0.5000
