r_val, FCN_Acc, CNN_Acc
1.0000, 0.6580, 0.9935
1.4142, 0.8335, 0.9380
2.0000, 0.9505, 0.7515
2.2361, 0.9700, 0.8335
2.8284, 0.9905, 0.8410
3.0000, 0.9945, 0.7720
4.0000, 0.9960, 0.8555
5.0000, 0.9970, 0.9460
6.0000, 0.9965, 0.9645
7.0000, 0.9960, 0.9945
8.0000, 0.9930, 0.8285
9.0000, 0.9930, 0.9640
10.0000, 0.9940, 0.9955
11.0000, 0.9950, 0.9945
12.0000, 0.9930, 0.9655
13.0000, 0.9915, 0.9740
14.0000, 0.9935, 0.9585
15.0000, 0.9780, 0.9560
16.0000, 0.9815, 0.9200
17.0000, 0.9825, 0.9685
18.0000, 0.9875, 0.9660
19.0000, 0.9750, 0.9750
20.0000, 0.9615, 0.8970
21.0000, 0.9775, 0.9885
22.0000, 0.9755, 0.9430
23.0000, 0.9695, 0.9505
24.0000, 0.9840, 0.9940
25.0000, 0.9755, 0.9780
26.0000, 0.9745, 0.9785
27.0000, 0.9820, 0.9845
28.0000, 0.9780, 0.9110
29.0000, 0.9750, 0.9895
30.0000, 0.9835, 0.9900
31.0000, 0.9800, 0.9810
32.0000, 0.9810, 0.9805
33.0000, 0.9830, 0.9730
34.0000, 0.9770, 0.9915
35.0000, 0.9770, 0.9710
36.0000, 0.9855, 0.9075
37.0000, 0.9895, 0.9495
38.0000, 0.9860, 0.9945
39.0000, 0.9855, 0.9965
40.0000, 0.9915, 0.9945
41.0000, 0.9910, 0.9970
42.0000, 0.9885, 0.9880
43.0000, 0.9925, 0.9735
44.0000, 0.9910, 0.9545
45.0000, 0.9870, 0.9940
