r_val, FCN_Acc, CNN_Acc
1.0000, 0.6090, 0.6090
1.4142, 0.6435, 0.6435
2.0000, 0.6840, 0.6840
2.2361, 0.6855, 0.6855
2.8284, 0.7005, 0.7005
3.0000, 0.7665, 0.7475
4.0000, 0.7850, 0.7585
5.0000, 0.8025, 0.7725
6.0000, 0.8165, 0.8035
7.0000, 0.8185, 0.8230
8.0000, 0.8175, 0.7755
9.0000, 0.8305, 0.8230
10.0000, 0.8420, 0.7960
11.0000, 0.8485, 0.8350
12.0000, 0.8665, 0.8400
13.0000, 0.8600, 0.8550
14.0000, 0.8665, 0.8390
15.0000, 0.8695, 0.8740
16.0000, 0.8665, 0.8590
17.0000, 0.8765, 0.8700
18.0000, 0.8940, 0.8710
19.0000, 0.8810, 0.8840
20.0000, 0.9100, 0.8475
21.0000, 0.8880, 0.8815
22.0000, 0.8760, 0.8940
23.0000, 0.8780, 0.9040
24.0000, 0.8895, 0.9300
25.0000, 0.9035, 0.9320
26.0000, 0.8790, 0.8955
27.0000, 0.8765, 0.9275
28.0000, 0.8715, 0.8750
29.0000, 0.8450, 0.8950
30.0000, 0.8445, 0.9000
31.0000, 0.8625, 0.9160
32.0000, 0.8375, 0.9510
33.0000, 0.8235, 0.8265
34.0000, 0.8265, 0.8570
35.0000, 0.8570, 0.8425
36.0000, 0.8560, 0.8620
37.0000, 0.8675, 0.8435
38.0000, 0.8815, 0.8550
39.0000, 0.8785, 0.8575
40.0000, 0.8745, 0.7930
41.0000, 0.8830, 0.8485
42.0000, 0.8765, 0.8470
43.0000, 0.8785, 0.8505
44.0000, 0.8850, 0.8250
45.0000, 0.8835, 0.8470
46.0000, 0.8890, 0.8360
47.0000, 0.8800, 0.8600
48.0000, 0.8485, 0.8285
49.0000, 0.8710, 0.8320
50.0000, 0.8480, 0.7970
51.0000, 0.8575, 0.8195
52.0000, 0.8235, 0.8035
53.0000, 0.8060, 0.8240
54.0000, 0.8300, 0.8035
55.0000, 0.8180, 0.7860
56.0000, 0.8240, 0.8230
57.0000, 0.8095, 0.7910
58.0000, 0.8105, 0.7905
59.0000, 0.8055, 0.7770
60.0000, 0.7755, 0.7600
61.0000, 0.7680, 0.7490
62.0000, 0.7145, 0.7065
63.0000, 0.6090, 0.6090
