r_val, FCN_Acc, CNN_Acc
1.0000, 0.6540, 0.5910
1.4142, 0.8515, 0.9000
2.0000, 0.9500, 0.9695
2.2361, 0.9710, 0.9965
2.8284, 0.9900, 0.9750
3.0000, 0.9950, 0.9820
4.0000, 0.9960, 0.8945
5.0000, 0.9965, 0.8445
6.0000, 0.9970, 0.9890
7.0000, 0.9950, 0.7740
8.0000, 0.9935, 0.5020
9.0000, 0.9925, 0.9830
10.0000, 0.9915, 0.9640
11.0000, 0.9915, 0.9135
12.0000, 0.9920, 0.9000
13.0000, 0.9965, 0.8000
14.0000, 0.9970, 0.9265
15.0000, 0.9970, 0.9175
16.0000, 0.9970, 0.8740
17.0000, 0.9970, 0.9045
18.0000, 0.9970, 0.8745
19.0000, 0.9970, 0.8970
20.0000, 0.9945, 0.8210
21.0000, 0.9970, 0.8440
22.0000, 0.9970, 0.7685
23.0000, 0.9950, 0.8050
24.0000, 0.9945, 0.8430
25.0000, 0.9950, 0.6780
26.0000, 0.9945, 0.5735
27.0000, 0.9945, 0.8275
28.0000, 0.9945, 0.7485
29.0000, 0.9950, 0.6080
30.0000, 0.9950, 0.5000
31.0000, 0.9950, 0.6305
32.0000, 0.9950, 0.6515
33.0000, 0.9960, 0.7300
34.0000, 0.9975, 0.8360
35.0000, 0.9975, 0.6195
36.0000, 0.9975, 0.8600
37.0000, 0.9965, 0.7580
38.0000, 0.9975, 0.8125
39.0000, 0.9960, 0.8425
40.0000, 0.9975, 0.7810
41.0000, 0.9970, 0.8855
42.0000, 0.9970, 0.8940
43.0000, 0.9970, 0.8955
44.0000, 0.9950, 0.9075
45.0000, 0.9970, 0.9345
46.0000, 0.9970, 0.8715
47.0000, 0.9965, 0.9485
48.0000, 0.9955, 0.9415
49.0000, 0.9950, 0.9090
50.0000, 0.9965, 0.9185
51.0000, 0.9915, 0.9470
52.0000, 0.9915, 0.8475
53.0000, 0.9915, 0.9425
54.0000, 0.9915, 0.9460
55.0000, 0.9920, 0.8680
56.0000, 0.9930, 0.8235
57.0000, 0.9950, 0.8620
58.0000, 0.9970, 0.8940
59.0000, 0.9965, 0.6850
60.0000, 0.9960, 0.8690
61.0000, 0.9950, 0.9765
62.0000, 0.9720, 0.7930
63.0000, 0.6540, 0.7270
