r_val, FCN_Acc, CNN_Acc
1.0000, 0.6555, 0.9115
1.4142, 0.8320, 0.8745
2.0000, 0.9580, 0.9770
2.2361, 0.9695, 0.6030
2.8284, 0.9895, 0.6030
3.0000, 0.9940, 0.9230
4.0000, 0.9960, 0.9960
5.0000, 0.9965, 0.9585
6.0000, 0.9965, 0.9960
7.0000, 0.9950, 0.9805
8.0000, 0.9945, 0.9950
9.0000, 0.9930, 0.9975
10.0000, 0.9920, 0.9920
11.0000, 0.9930, 0.9410
12.0000, 0.9930, 0.9690
13.0000, 0.9945, 0.9810
14.0000, 0.9955, 0.9880
15.0000, 0.9930, 0.9760
16.0000, 0.9950, 0.9705
17.0000, 0.9905, 0.9635
18.0000, 0.9925, 0.9545
19.0000, 0.9810, 0.9380
20.0000, 0.9875, 0.9580
21.0000, 0.9715, 0.9655
22.0000, 0.9895, 0.9485
23.0000, 0.9775, 0.9315
24.0000, 0.9765, 0.9605
25.0000, 0.9805, 0.9505
26.0000, 0.9850, 0.9970
27.0000, 0.9825, 0.9860
28.0000, 0.9725, 0.9925
29.0000, 0.9855, 0.8735
30.0000, 0.9785, 0.9415
31.0000, 0.9795, 0.9935
32.0000, 0.9860, 0.9920
33.0000, 0.9835, 0.9925
34.0000, 0.9915, 0.9910
35.0000, 0.9890, 0.9935
36.0000, 0.9880, 0.9570
37.0000, 0.9850, 0.9320
38.0000, 0.9735, 0.9355
39.0000, 0.9825, 0.9620
40.0000, 0.9865, 0.9430
41.0000, 0.9855, 0.9490
42.0000, 0.9775, 0.9510
43.0000, 0.9835, 0.9900
44.0000, 0.9870, 0.9680
45.0000, 0.9765, 0.9605
46.0000, 0.9920, 0.9765
47.0000, 0.9905, 0.9860
48.0000, 0.9930, 0.9700
49.0000, 0.9945, 0.9965
50.0000, 0.9935, 0.9540
51.0000, 0.9920, 0.9865
52.0000, 0.9945, 0.9840
53.0000, 0.9915, 0.9960
54.0000, 0.9930, 0.9965
55.0000, 0.9935, 0.9965
56.0000, 0.9930, 0.9860
57.0000, 0.9960, 0.9945
58.0000, 0.9965, 0.9050
59.0000, 0.9965, 0.9965
60.0000, 0.9950, 0.9385
61.0000, 0.9950, 0.9325
62.0000, 0.9750, 0.9800
63.0000, 0.6785, 0.8395
